,id_anonimo,Site da Disciplina,Unnamed: 3,Plano de Ensino,Unnamed: 5,Livro Texto,Unnamed: 7,Thonny,Unnamed: 9,OpCoders - Corretor Automático,Unnamed: 11,Frequência,Unnamed: 13,Notas,Unnamed: 15,Jogo em Python,Unnamed: 17,Corretor Automático - Prática 2_3,Unnamed: 19,Questões,Unnamed: 21,Respostas,Unnamed: 23,Exercícios,Unnamed: 25,Respostas.1,Unnamed: 27,Entrega exercicios,Unnamed: 29,Simulado,Unnamed: 31,Solução Ex 3,Unnamed: 33
10,18023f6733e5cf8a41ddc972fe99a944,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 17:04:40,Não concluído,,Não concluído,
11,6de97f9bded1ffe4fc834504a40be81a,Concluído,2024-11-13 14:15:03,Concluído,2024-11-13 14:15:26,Concluído,2025-01-14 15:13:04,Concluído,2025-01-14 15:13:06,Concluído,2025-01-14 15:13:07,Não concluído,,Não concluído,,Concluído,2024-11-15 12:14:44,Concluído,2024-12-06 22:37:33,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
12,7204bcdfe2fde9360bffe9f34dcb76be,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
13,9e6abd3fb1905a6947b32b6b62dda057,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
14,a69db7d6e24e5ea8ef115bb6622b0d58,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-20 20:04:51,Não concluído,,Concluído,2025-04-08 16:35:44,Não concluído,,Concluído,2025-01-29 13:41:47,Concluído,2025-01-29 13:41:48,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
15,197e781e9efaab3a7d8af603036af417,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 17:04:49,Não concluído,,Não concluído,
16,a71dfa36e9a7e6cc30db0b3c4b31a9da,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
17,c19404d610d1c1ac7fd84de5a6b5b9dc,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
18,f4b6adfb819cc2305efe9198c0fd4501,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-22 10:13:33,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 17:08:13,Não concluído,,Não concluído,
20,3d25f87e52aec186e3ae97fce82679b6,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
21,10d4baa977d8c88fd443b0b95db24244,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 16:51:48,Não concluído,,Concluído,2025-03-10 16:53:52,Não concluído,,Não concluído,
23,7253483e7967b88d094a9a280c44a2de,Concluído,2024-11-18 15:34:51,Concluído,2024-11-18 15:34:51,Concluído,2024-11-18 15:34:58,Concluído,2024-11-18 15:34:58,Concluído,2024-11-18 15:34:59,Concluído,2024-11-18 15:35:03,Concluído,2024-11-18 15:35:04,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 16:58:01,Não concluído,,Não concluído,
24,80b480f2b3d9d36a0e8ece613aa5c570,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 16:53:39,Não concluído,,Não concluído,
25,c0d552823a2f4c2136419e3d1dcdfadd,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
26,91a8d7321f883bcdd5e6ef9cc31ba3db,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
27,d7f9375b319ab15a46f619eccdaaa02a,Concluído,2024-11-25 01:48:22,Concluído,2024-11-25 01:48:23,Concluído,2024-11-25 01:48:29,Concluído,2024-11-25 01:48:30,Concluído,2024-11-25 01:48:31,Concluído,2024-11-25 01:48:31,Concluído,2024-11-25 01:48:33,Concluído,2024-11-20 18:42:32,Concluído,2024-11-20 18:43:08,Concluído,2025-02-12 15:27:29,Concluído,2025-02-12 15:27:30,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
28,4cbf0b35a4e8cc0863ff1dc67c13449c,Concluído,2024-11-12 18:03:19,Concluído,2024-11-12 18:03:21,Concluído,2024-11-12 18:03:22,Concluído,2024-11-12 18:03:23,Concluído,2024-11-18 18:42:04,Concluído,2024-11-18 18:42:05,Concluído,2024-11-18 18:42:06,Concluído,2024-11-18 17:23:12,Concluído,2024-11-18 18:42:10,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-10 16:54:14,Não concluído,,Não concluído,
30,87b2a1a047bba714fbd4c4e4ab39a2a9,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
