,id_anonimo,Boas vindas!!!,Unnamed: 3,Plano de ensino (unificado),Unnamed: 5,Cronograma detalhado,Unnamed: 7,Diário de classe,Unnamed: 9,Lançamento de notas e frequência no sistema acadêmico,Unnamed: 11,Cálculo de notas para Exame Especial,Unnamed: 13,Escolha para o EXAME ESPECIAL,Unnamed: 15,Página da disciplina,Unnamed: 17,Agenda do Professor,Unnamed: 19,"Atendimentos: Extraclase, Monitoria e Tutoria",Unnamed: 21,opCoders Judge (Corretor automático de exercícios práticos),Unnamed: 23,Informações sobre recursos didáticos,Unnamed: 25,Material Didático Unificado,Unnamed: 27,Conteúdo teórico (livro texto),Unnamed: 29,Resumo para a Prova Teórica 1 (PT1),Unnamed: 31,Resumo para a Prova Teórica 1 (PT2),Unnamed: 33,Bibliografia básica,Unnamed: 35,[T] Apresentação da disciplina,Unnamed: 37,Material complementar - Videoaula: Apresentação da disciplina (29 min),Unnamed: 39,[T] Cap. 1 - Introdução,Unnamed: 41,Material complementar - Videoaula: Introdução (37 min),Unnamed: 43,[AP-1.1] Ambiente de programação,Unnamed: 45,[T] Caps. 2 e 3 -Conceitos básicos,Unnamed: 47,Material complementar - Videoaula: Conceitos básicos (120 min),Unnamed: 49,[AP-1.2] Conhecendo o corretor automático,Unnamed: 51,"[AP-2_3] Variáveis, expressões, entrada e saída",Unnamed: 53,[T] Estruturas de Decisão,Unnamed: 55,Material complementar - Videoaula: Estruturas de Decisão (87 min),Unnamed: 57,[AP-4.1] Estruturas de Decisão Simples,Unnamed: 59,[AP-4.2] Estruturas de Decisão Aninhadas,Unnamed: 61,[T] Estrutura de Repetição: WHILE,Unnamed: 63,Material complementar - Videoaula: Estrutura de Repetição: WHILE (79 min),Unnamed: 65,Questionário estrutura WHILE,Unnamed: 67,[AP-5.1] Estrutura de Repetição: WHILE,Unnamed: 69,[T] Estrutura de Repetição: FOR,Unnamed: 71,Material complementar - Videoaula: Estrutura de Repetição: FOR (69 min),Unnamed: 73,[AP-5.2] Estrutura de Repetição: FOR,Unnamed: 75,[T] Estrutura de Repetição - Laços Aninhados,Unnamed: 77,Material complementar - Videoaula: Estrutura de Repetição: Laços Aninhados (46 min),Unnamed: 79,[AP-5.3] Estrutura de Repetição - Laços Aninhados,Unnamed: 81,[T] Implementação de Funções,Unnamed: 83,Material complementar - Videoaula: Implementação de Funções (57 min),Unnamed: 85,[AP-6.1] Implementação de Funções,Unnamed: 87,[AP-6.2] Implementação de Funções,Unnamed: 89,Biblioteca padrão para Vetores e Matrizes,Unnamed: 91,[T] Estruturas Homogêneas: VETOR,Unnamed: 93,Material complementar - Videoaula: Estruturas Homogêneas: VETOR (100 min),Unnamed: 95,[AP-7.1] Estrutura Homogênea - VETOR,Unnamed: 97,[AP-7.2] Estrutura Homogênea - VETOR,Unnamed: 99,[T] Estruturas Homogêneas: MATRIZ,Unnamed: 101,Material complementar - Videoaula: Estruturas Homogêneas: MATRIZ (61 min),Unnamed: 103,[AP-7.3] Estrutura Homogênea - MATRIZ,Unnamed: 105,[AP-7.4] Estrutura Homogênea - MATRIZ,Unnamed: 107,[T] Estruturas Heterogêneas: REGISTRO,Unnamed: 109,Material complementar - Videoaula: Estruturas Heterogêneas: REGISTRO (25 min),Unnamed: 111,[AP-8] Estruturas Heterogêneas - REGISTRO,Unnamed: 113,Unnamed: 114,Unnamed: 115
49,b1c427bcaeb72882833598f3e098cf0b,Concluído,2025-02-25 11:14:57,Concluído,2024-12-10 18:42:20,Concluído,2024-12-10 18:42:21,Concluído,2024-12-10 18:42:22,Não concluído,,Concluído,2024-12-10 18:42:23,Concluído,2024-12-10 18:42:24,Concluído,2024-12-10 18:42:25,Concluído,2024-12-10 18:42:26,Concluído,2024-12-10 18:42:26,Concluído,2024-12-10 18:42:27,Concluído,2024-12-10 18:42:29,Concluído,2024-12-10 18:42:35,Concluído,2024-12-10 18:42:37,Concluído,2025-02-25 11:14:49,Concluído,2025-02-25 11:14:50,Concluído,2024-12-10 18:42:39,Concluído,2024-12-10 18:43:46,Concluído,2024-12-10 18:42:57,Concluído,2024-12-10 18:42:58,Concluído,2024-12-10 18:42:59,Concluído,2024-12-10 18:42:59,Concluído,2024-12-10 18:43:00,Concluído,2024-12-10 18:43:02,Concluído,2024-12-10 18:43:03,Concluído,2024-12-10 18:43:04,Concluído,2024-12-10 18:43:05,Concluído,2024-12-10 18:43:12,Concluído,2024-12-10 18:43:12,Concluído,2024-12-10 18:43:13,Concluído,2024-12-10 18:43:15,Concluído,2024-12-10 18:40:44,Concluído,2024-12-10 18:41:46,Concluído,2024-12-10 18:43:20,Concluído,2024-12-10 18:42:06,Concluído,2025-01-21 18:38:48,Concluído,2025-01-21 18:38:52,Concluído,2025-01-21 18:38:55,Concluído,2025-02-17 13:48:06,Concluído,2025-02-17 13:48:15,Concluído,2025-02-05 16:04:59,Concluído,2025-02-17 13:47:32,Concluído,2025-02-17 13:47:33,Concluído,2025-03-27 10:37:54,Concluído,2025-02-17 13:47:35,Concluído,2025-02-25 11:14:24,Concluído,2025-02-25 11:14:25,Concluído,2025-02-25 11:14:26,Concluído,2025-02-25 11:14:27,Concluído,2025-02-25 11:14:27,Concluído,2025-03-27 10:37:58,Concluído,2025-03-27 10:37:58,Concluído,2025-03-27 10:37:59,Concluído,2025-03-27 10:37:59,Concluído,2025-03-31 20:00:51,Concluído,2025-03-31 20:00:51,Concluído,2025-03-31 20:00:52
50,dfecdda0c894de9914ff72bbd4e0d5e2,Não concluído,2024-11-14 13:50:27,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-12 20:38:32,Não concluído,,Concluído,2024-12-05 15:34:55,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2025-01-16 18:49:19,Não concluído,,Concluído,2024-12-12 12:44:29,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-16 18:50:00,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
51,389b579fffd39e85841b946b0f10729d,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
53,91a8d7321f883bcdd5e6ef9cc31ba3db,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
55,d1d631d5ec3b668a54762a0428c4c58e,Não concluído,,Concluído,2025-01-21 11:30:19,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-21 11:30:34,Concluído,2025-01-21 11:30:34,Concluído,2025-01-21 11:30:35,Concluído,2025-01-21 11:30:33,Concluído,2025-01-21 11:30:33,Concluído,2025-01-21 11:30:31,Concluído,2025-01-21 11:30:31,Concluído,2025-01-21 11:30:32,Concluído,2025-01-21 11:30:29,Concluído,2025-01-21 11:30:40,Concluído,2025-01-21 11:30:41,Concluído,2025-01-21 11:30:39,Concluído,2025-01-21 11:30:39,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-09 17:55:31,Concluído,2025-02-06 15:17:17,Concluído,2025-02-06 15:17:20,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
56,3f3afb7914d3dd2ba9aae53353da89ea,Não concluído,,Não concluído,,Não concluído,2024-11-12 18:43:26,Não concluído,2024-11-12 18:42:45,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-15 08:27:38,Concluído,2024-11-15 08:27:52,Concluído,2024-11-13 14:44:58,Concluído,2024-11-19 06:20:00,Concluído,2024-11-25 20:11:20,Concluído,2024-11-25 20:11:26,Concluído,2024-11-25 20:11:29,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 16:12:56,Concluído,2024-12-10 08:42:55,Concluído,2024-12-13 05:50:49,Concluído,2024-12-07 12:55:00,Não concluído,,Concluído,2024-12-17 09:22:31,Concluído,2024-12-16 21:04:47,Não concluído,,Concluído,2025-02-06 18:04:21,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
57,b884e62b11a6466b93c7b06fc9dba840,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-03 11:00:42,Concluído,2024-11-21 19:36:12,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-21 15:36:35,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-12 10:40:50,Concluído,2024-12-12 10:40:41,Não concluído,2024-12-10 16:12:53,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-08 20:28:07,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
58,3d1220486a6a135a8fe0057a0109a6c4,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-11 20:54:51,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-18 22:34:03,Não concluído,,Não concluído,,Concluído,2025-02-06 13:00:07,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
59,6de5e6196ce2bd0d670d35c92e07a86e,Não concluído,,Concluído,2024-11-19 17:53:57,Concluído,2024-11-19 17:53:58,Concluído,2024-11-19 17:53:59,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-26 16:59:59,Concluído,2025-02-26 17:00:00,Concluído,2025-02-26 17:00:04,Não concluído,,Concluído,2025-02-26 17:00:10,Concluído,2025-02-26 17:00:11,Não concluído,,Concluído,2024-11-26 10:55:59,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 14:44:05,Concluído,2024-12-10 11:30:47,Concluído,2025-02-04 12:42:54,Concluído,2025-02-04 12:43:08,Concluído,2025-02-04 12:43:04,Concluído,2025-02-04 12:43:11,Concluído,2025-02-04 12:43:13,Concluído,2025-02-04 12:43:18,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
61,ba8f7bd067657140f698d6f05eff7b94,Concluído,2025-01-30 13:49:53,Concluído,2025-01-30 13:51:04,Concluído,2025-01-30 13:51:05,Concluído,2025-01-30 13:51:05,Não concluído,,Concluído,2025-01-30 13:51:06,Concluído,2025-01-30 13:51:07,Concluído,2025-01-30 13:51:07,Concluído,2025-01-30 13:51:09,Concluído,2025-01-30 13:51:10,Concluído,2025-01-30 13:51:12,Concluído,2025-01-30 13:51:14,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
62,e12e37cbc2726f0096825de2198eedec,Não concluído,2025-01-31 11:58:51,Concluído,2024-11-25 13:45:48,Concluído,2025-01-09 10:37:01,Concluído,2025-01-09 10:37:02,Não concluído,,Concluído,2025-01-09 10:37:03,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-25 13:46:32,Concluído,2024-11-25 13:46:30,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-04 17:55:50,Não concluído,,Concluído,2025-02-04 17:55:52,Não concluído,,Não concluído,,Concluído,2025-02-04 14:37:27,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-04 17:56:00,Concluído,2024-11-26 18:23:58,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
63,765dfe23b4760e500c6b5f1d4df23438,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2025-01-21 12:26:02,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 21:58:48,Concluído,2024-12-10 22:03:15,Não concluído,,Concluído,2024-12-10 21:58:36,Não concluído,,Concluído,2025-01-28 22:03:32,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
65,9a4b7d8baa5be015dd5ef10073cb17b0,Concluído,2025-01-27 14:07:45,Concluído,2025-01-27 14:06:39,Concluído,2025-01-27 14:06:40,Concluído,2025-01-27 14:06:41,Não concluído,,Concluído,2025-01-27 14:06:41,Concluído,2025-01-27 14:06:42,Concluído,2025-01-27 14:06:42,Concluído,2025-01-27 14:06:44,Concluído,2025-01-27 14:06:43,Concluído,2025-01-27 14:06:45,Concluído,2025-01-27 14:06:45,Concluído,2025-01-27 14:06:03,Concluído,2025-01-27 14:06:05,Não concluído,,Não concluído,,Concluído,2025-01-27 14:06:08,Concluído,2025-01-27 14:06:09,Concluído,2025-01-27 14:06:13,Concluído,2025-01-27 14:06:14,Concluído,2025-01-27 14:06:16,Concluído,2025-01-27 14:06:15,Concluído,2025-01-27 14:06:20,Concluído,2025-01-27 14:06:17,Concluído,2025-01-27 14:06:18,Concluído,2025-01-27 14:06:19,Concluído,2025-01-27 14:06:19,Concluído,2025-01-27 14:06:34,Concluído,2025-01-27 14:06:35,Concluído,2025-01-27 14:06:36,Concluído,2025-01-27 14:06:36,Concluído,2024-12-12 16:24:03,Concluído,2025-01-27 14:06:55,Concluído,2025-01-27 14:06:23,Concluído,2024-12-12 16:29:09,Concluído,2025-01-27 14:07:01,Concluído,2024-12-18 10:23:08,Concluído,2025-01-27 14:07:17,Concluído,2025-02-06 15:25:50,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-13 16:26:15,Concluído,2025-03-13 16:26:14,Concluído,2025-03-13 16:26:14,Concluído,2025-03-13 16:26:13,Concluído,2025-03-13 16:26:13,Concluído,2025-03-13 16:26:12,Concluído,2025-03-13 16:26:12,Concluído,2025-03-13 16:26:11,Concluído,2025-03-13 16:26:10,Não concluído,,Não concluído,,Não concluído,
66,15de1b524d874db2f99534844aa2c59b,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-16 10:20:37,Concluído,2024-12-06 18:42:18,Não concluído,,Concluído,2025-02-01 08:20:12,Concluído,2024-12-17 14:11:40,Não concluído,,Concluído,2024-12-24 20:38:06,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
67,7a74bf566554a6f86641006b2b246e99,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-10 14:13:11,Concluído,2024-12-10 14:13:25,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
68,5e9eb042b9366cb67ed52efa3c579383,Concluído,2025-01-27 07:45:50,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-12 22:23:27,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-02-20 09:36:17,Não concluído,,Não concluído,,Concluído,2025-04-05 08:44:37,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
69,860cc8bc89a9509fdd8cf7c96dbbe014,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-13 10:29:00,Não concluído,,Concluído,2024-11-13 10:29:04,Concluído,2024-11-14 19:35:36,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-17 13:44:05,Concluído,2024-12-12 16:41:33,Não concluído,,Concluído,2025-01-22 11:50:57,Concluído,2024-12-17 13:57:49,Concluído,2024-12-21 09:50:43,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
70,b8560b042dad98b5c17c51d0a1851104,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-31 10:41:49,Concluído,2025-01-30 10:24:17,Não concluído,,Concluído,2025-01-31 16:58:18,Não concluído,,Concluído,2025-02-01 08:38:19,Concluído,2025-03-19 13:05:06,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
71,a8a3353bab00681a3af2a8ac1fdd30cb,Concluído,2024-11-25 20:09:58,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-20 21:27:22,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-11-25 19:55:08,Não concluído,,Não concluído,,Concluído,2024-11-25 19:39:29,Concluído,2024-11-25 19:17:56,Concluído,2024-11-25 19:44:23,Concluído,2024-11-25 19:49:13,Concluído,2024-11-28 09:54:40,Não concluído,,Concluído,2024-12-03 10:37:02,Não concluído,,Não concluído,,Concluído,2024-12-11 13:59:40,Concluído,2024-12-12 21:35:49,Concluído,2024-12-11 13:21:18,Concluído,2024-12-19 13:07:03,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-03 16:48:25,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-16 18:08:38,Não concluído,,Não concluído,,Não concluído,,Não concluído,
72,d44a0414ac013e7277f55703057b9892,Concluído,2024-11-12 15:36:58,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-11 17:31:58,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-20 10:41:22,Não concluído,,Não concluído,,Concluído,2025-02-05 13:51:09,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
73,e2586fa2d545cf9137f2a6040923b237,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
74,c41f44d7f70d8475acbdcadbaca7e8c9,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-09 09:36:01,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
