,id_anonimo,Boas vindas!!!,Unnamed: 3,Plano de ensino (unificado),Unnamed: 5,Cronograma detalhado,Unnamed: 7,Diário de classe,Unnamed: 9,Lançamento de notas e frequência no sistema acadêmico,Unnamed: 11,Cálculo de notas para Exame Especial,Unnamed: 13,Escolha para o EXAME ESPECIAL,Unnamed: 15,Página da disciplina,Unnamed: 17,Agenda do Professor,Unnamed: 19,"Atendimentos: Extraclase, Monitoria e Tutoria",Unnamed: 21,opCoders Judge (Corretor automático de exercícios práticos),Unnamed: 23,Informações sobre recursos didáticos,Unnamed: 25,Material Didático Unificado,Unnamed: 27,Conteúdo teórico (livro texto),Unnamed: 29,Resumo para a Prova Teórica 1 (PT1),Unnamed: 31,Resumo para a Prova Teórica 1 (PT2),Unnamed: 33,Bibliografia básica,Unnamed: 35,[T] Apresentação da disciplina,Unnamed: 37,Material complementar - Videoaula: Apresentação da disciplina (29 min),Unnamed: 39,[T] Cap. 1 - Introdução,Unnamed: 41,Material complementar - Videoaula: Introdução (37 min),Unnamed: 43,[AP-1.1] Ambiente de programação,Unnamed: 45,[T] Caps. 2 e 3 -Conceitos básicos,Unnamed: 47,Material complementar - Videoaula: Conceitos básicos (120 min),Unnamed: 49,[AP-1.2] Conhecendo o corretor automático,Unnamed: 51,"[AP-2_3] Variáveis, expressões, entrada e saída",Unnamed: 53,[T] Estruturas de Decisão,Unnamed: 55,Material complementar - Videoaula: Estruturas de Decisão (87 min),Unnamed: 57,[AP-4.1] Estruturas de Decisão Simples,Unnamed: 59,[AP-4.2] Estruturas de Decisão Aninhadas,Unnamed: 61,[T] Estrutura de Repetição: WHILE,Unnamed: 63,Material complementar - Videoaula: Estrutura de Repetição: WHILE (79 min),Unnamed: 65,Questionário estrutura WHILE,Unnamed: 67,[AP-5.1] Estrutura de Repetição: WHILE,Unnamed: 69,[T] Estrutura de Repetição: FOR,Unnamed: 71,Material complementar - Videoaula: Estrutura de Repetição: FOR (69 min),Unnamed: 73,[AP-5.2] Estrutura de Repetição: FOR,Unnamed: 75,[T] Estrutura de Repetição - Laços Aninhados,Unnamed: 77,Material complementar - Videoaula: Estrutura de Repetição: Laços Aninhados (46 min),Unnamed: 79,[AP-5.3] Estrutura de Repetição - Laços Aninhados,Unnamed: 81,[T] Implementação de Funções,Unnamed: 83,Material complementar - Videoaula: Implementação de Funções (57 min),Unnamed: 85,[AP-6.1] Implementação de Funções,Unnamed: 87,[AP-6.2] Implementação de Funções,Unnamed: 89,Biblioteca padrão para Vetores e Matrizes,Unnamed: 91,[T] Estruturas Homogêneas: VETOR,Unnamed: 93,Material complementar - Videoaula: Estruturas Homogêneas: VETOR (100 min),Unnamed: 95,[AP-7.1] Estrutura Homogênea - VETOR,Unnamed: 97,[AP-7.2] Estrutura Homogênea - VETOR,Unnamed: 99,[T] Estruturas Homogêneas: MATRIZ,Unnamed: 101,Material complementar - Videoaula: Estruturas Homogêneas: MATRIZ (61 min),Unnamed: 103,[AP-7.3] Estrutura Homogênea - MATRIZ,Unnamed: 105,[AP-7.4] Estrutura Homogênea - MATRIZ,Unnamed: 107,[T] Estruturas Heterogêneas: REGISTRO,Unnamed: 109,Material complementar - Videoaula: Estruturas Heterogêneas: REGISTRO (25 min),Unnamed: 111,[AP-8] Estruturas Heterogêneas - REGISTRO,Unnamed: 113,Unnamed: 114,Unnamed: 115
12,de72f5a62974ffa3f0e47a5aec2273e2,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-31 14:57:26,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
13,e914d5dd14998e53c837b3dbd25c977c,Concluído,2024-12-06 16:53:25,Concluído,2024-12-06 16:54:36,Concluído,2024-12-06 16:54:45,Concluído,2024-12-06 16:55:33,Não concluído,,Concluído,2024-12-06 16:55:44,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-06 16:54:03,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
14,fca51f6282af24ac9fddc7c3eca867a7,Concluído,2024-11-19 15:26:15,Concluído,2024-11-21 15:34:28,Concluído,2024-11-21 15:34:32,Concluído,2024-11-21 15:34:30,Não concluído,,Concluído,2024-11-21 15:34:34,Concluído,2024-11-21 15:34:35,Concluído,2024-12-02 15:25:24,Concluído,2024-12-02 15:25:25,Concluído,2024-12-02 15:25:27,Concluído,2024-11-21 16:23:56,Concluído,2024-12-02 15:25:28,Concluído,2024-11-21 15:34:43,Concluído,2024-11-21 15:34:39,Concluído,2025-03-25 10:50:45,Concluído,2025-03-18 17:19:25,Concluído,2024-11-21 15:34:42,Concluído,2024-11-21 15:34:45,Concluído,2024-12-02 15:25:12,Concluído,2024-11-21 15:34:50,Concluído,2024-11-19 15:31:17,Concluído,2024-11-21 15:34:51,Concluído,2024-11-21 15:34:54,Concluído,2024-11-20 13:54:59,Concluído,2024-11-21 16:23:39,Concluído,2024-11-21 16:23:39,Concluído,2024-11-21 16:23:40,Concluído,2024-12-06 13:43:41,Concluído,2024-12-06 13:43:42,Concluído,2024-12-06 13:43:43,Concluído,2024-12-06 13:43:44,Concluído,2024-12-12 15:58:29,Concluído,2024-12-17 15:24:05,Concluído,2024-12-15 20:21:59,Concluído,2024-12-15 20:22:07,Concluído,2024-12-15 20:22:54,Não concluído,,Concluído,2025-02-10 15:09:57,Concluído,2025-02-10 15:10:19,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-03-27 14:44:36,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
15,fb97d198313bfe921af2996f7a43311d,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-19 15:28:25,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-04-02 20:46:58,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
16,d1db8058b644c60517623865be574313,Não concluído,,Não concluído,,Não concluído,2024-12-10 11:34:29,Não concluído,2025-01-29 19:52:51,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,2024-12-10 11:34:13,Não concluído,,Concluído,2024-12-10 18:11:53,Concluído,2024-12-10 18:12:04,Concluído,2024-12-12 15:37:09,Não concluído,,Concluído,2025-01-29 19:53:58,Concluído,2025-01-29 19:54:18,Concluído,2025-02-05 15:03:51,Concluído,2025-02-05 15:04:17,Concluído,2025-02-06 14:47:53,Concluído,2025-02-06 14:47:42,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
17,b5cef49165e298c6c365dc37ddfee7a3,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
18,8c48db400a22bd2b95733ff7f842f5e4,Não concluído,,Não concluído,2025-03-25 13:57:42,Não concluído,2025-04-01 13:33:43,Não concluído,2025-02-04 12:04:31,Não concluído,,Não concluído,,Concluído,2025-04-01 13:33:42,Não concluído,,Não concluído,,Não concluído,2024-11-13 10:59:50,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-04-03 11:31:41,Concluído,2025-04-03 11:31:44,Concluído,2025-04-03 11:31:46,Concluído,2025-04-03 11:31:48,Concluído,2025-04-03 11:31:49,Concluído,2025-04-03 11:31:56,Concluído,2025-04-03 11:31:54,Concluído,2025-04-03 11:31:52,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-04-04 23:38:46,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-04-04 23:39:24,Não concluído,,Não concluído,,Concluído,2025-04-04 23:39:39,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
19,5f8862379a5fb116b1fe429edba82a09,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2025-01-28 07:36:17,Concluído,2025-02-06 14:34:02,Não concluído,,Concluído,2025-02-06 14:33:26,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
20,e879e8c07ec2a6794ee88232702a1b83,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-12 12:58:57,Concluído,2024-12-13 09:49:01,Concluído,2024-12-13 09:47:42,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
23,3e7423d5ab36e6f8d555b73d40a71b75,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-16 10:01:31,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Concluído,2024-12-08 20:39:53,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,,Não concluído,
